do_id	description
DOID:4838	myoepithelial carcinoma
DOID:4839	sebaceous adenocarcinoma
DOID:4840	sebaceous carcinoma
DOID:4846	cauda equina intradural extramedullary astrocytoma
DOID:4847	cauda equina neoplasm
DOID:4848	cerebellar astrocytoma
DOID:4853	pilocytic astrocytoma of cerebellum
DOID:4855	diencephalic astrocytoma
DOID:4856	gliofibroma
DOID:4858	pineal gland astrocytoma
DOID:4860	brain stem astrocytic neoplasm
DOID:4863	spinal cord astrocytoma
DOID:4866	salivary gland adenoid cystic carcinoma
DOID:4867	cervical adenoid cystic carcinoma
DOID:4868	prostate adenoid cystic carcinoma
DOID:4869	laryngeal adenoid cystic carcinoma
DOID:4870	lacrimal gland adenoid cystic carcinoma
DOID:4871	cutaneous adenocystic carcinoma
DOID:4872	lung adenoid cystic carcinoma
DOID:4875	trachea adenoid cystic carcinoma
DOID:4876	trachea carcinoma
DOID:4877	breast adenoid cystic carcinoma
DOID:4878	esophageal adenoid cystic carcinoma
DOID:4879	Bartholin's gland adenoid cystic carcinoma
DOID:4880	kidney clear cell sarcoma
DOID:4892	middle ear adenocarcinoma
DOID:4893	middle ear carcinoma
