mondo_id	description
MONDO:0002579	orbit embryonal rhabdomyosarcoma
MONDO:0002580	orbit rhabdomyosarcoma
MONDO:0002581	spindle cell rhabdomyosarcoma
MONDO:0002586	thymus cancer
MONDO:0002592	invasive malignant thymoma
MONDO:0002598	germinoma
MONDO:0002599	teratocarcinoma
MONDO:0002617	bone angiosarcoma
MONDO:0002618	undifferentiated high grade pleomorphic sarcoma of bone
MONDO:0002619	bone fibrosarcoma
MONDO:0002620	localized osteosarcoma
MONDO:0002621	extraosseous osteosarcoma
MONDO:0002622	multifocal osteogenic sarcoma
MONDO:0002623	pediatric osteosarcoma
MONDO:0002624	bone leiomyosarcoma
MONDO:0002625	Ewing sarcoma of bone
MONDO:0002627	chondroblastic osteosarcoma
MONDO:0002628	peripheral osteosarcoma
MONDO:0002629	bone osteosarcoma
MONDO:0002630	small cell osteogenic sarcoma
MONDO:0002631	conventional osteosarcoma
MONDO:0002632	metachronous osteosarcoma of the bone
MONDO:0002634	liposarcoma of bone
MONDO:0002648	mammary Paget disease
MONDO:0002649	scrotum Paget disease
MONDO:0002650	scrotal carcinoma
MONDO:0002651	anal Paget disease
MONDO:0002652	anus adenocarcinoma
MONDO:0002653	Paget disease of the penis
MONDO:0002655	cutaneous Paget disease
MONDO:0002656	skin carcinoma
MONDO:0002658	iris cancer
MONDO:0002659	uveal cancer
MONDO:0002664	extrahepatic bile duct signet ring cell carcinoma
MONDO:0002665	extrahepatic bile duct adenocarcinoma
MONDO:0002666	pancreatic signet ring cell adenocarcinoma
MONDO:0002667	gallbladder signet ring cell adenocarcinoma
MONDO:0002669	ampullary signet ring cell adenocarcinoma
MONDO:0002670	ampulla of vater adenocarcinoma
MONDO:0002671	signet ring cell breast carcinoma
MONDO:0002672	acinar prostate adenocarcinoma, signet ring variant
MONDO:0002676	adult fibrosarcoma
MONDO:0002677	conventional fibrosarcoma
MONDO:0002678	pediatric fibrosarcoma
MONDO:0002681	choroid plexus cancer
MONDO:0002682	cerebral ventricle cancer
MONDO:0002685	childhood choroid plexus carcinoma
MONDO:0002691	liver cancer
MONDO:0002697	ovarian gonadoblastoma
MONDO:0002698	testicular gonadoblastoma
MONDO:0002701	ovarian mucinous cystadenocarcinoma
MONDO:0002702	ovarian cystadenocarcinoma
MONDO:0002703	appendix mucinous cystadenocarcinoma
MONDO:0002705	breast mucinous cystadenocarcinoma
MONDO:0002707	breast mucinous carcinoma
MONDO:0002714	central nervous system cancer
MONDO:0002715	uterine cancer
MONDO:0002728	rhabdoid tumor
MONDO:0002729	rhabdoid tumor of the kidney
MONDO:0002731	cerebral hemisphere cancer
